Status,Life.expectancy,Adult.Mortality,infant.deaths,Measles,BMI,under.five.deaths,Polio,Diphtheria,HIV.AIDS,Income.composition.of.resources,Schooling
Developing,65,263,62,1154,19.1,83,6,65,0.1,0.479,10.1
Developing,77.8,74,0,0,58,0,99,99,0.1,0.762,14.2
Developing,75.6,19,21,63,59.5,24,95,95,0.1,0.743,14.4
Developing,52.4,335,66,118,23.3,98,7,64,1.9,0.531,11.4
Developing,76.4,13,0,0,47.7,0,86,99,0.2,0.784,13.9
Developing,76.3,116,8,0,62.8,9,93,94,0.1,0.826,17.3
Developing,74.8,118,1,33,54.9,1,96,94,0.1,0.741,12.7
Developed,82.8,59,1,74,66.6,1,93,93,0.1,0.937,20.4
Developed,81.5,65,0,309,57.6,0,93,93,0.1,0.892,15.9
Developing,72.7,118,5,0,52.5,6,98,96,0.1,0.758,12.7
Developing,76.1,147,0,0,64.5,0,95,95,0.1,0.79,12.6
Developing,76.9,69,0,0,63.6,0,98,98,0.1,0.823,14.5
Developing,71.8,129,92,240,18.3,113,97,97,0.1,0.575,10.2
Developing,75.5,98,0,0,54.5,0,97,97,0.1,0.794,15.3
Developing,72.3,196,0,2,62.3,0,99,99,0.1,0.798,15.6
Developed,81.1,74,0,47,63.7,1,99,99,0.1,0.895,16.6
Developing,71,175,0,0,5.9,0,94,94,0.2,0.706,12.8
Developing,60,249,25,55,25.7,39,78,82,1,0.481,10.7
Developing,69.8,211,0,11,24.5,0,98,99,0.5,0.604,12.5
Developing,77,186,8,0,52.6,10,99,99,0.1,0.671,13.8
Developing,77.4,88,0,1677,55.8,0,74,82,0.1,0.747,14.2
Developing,65.7,256,2,0,37.9,2,96,95,2.2,0.698,12.6
Developing,75,142,42,214,56.1,47,98,96,0.1,0.754,15.2
Developing,77.7,78,0,4,41.2,0,99,99,0.1,0.864,14.9
Developed,74.5,137,0,0,65.7,1,91,91,0.1,0.792,15
Developing,59.9,26,38,99,19.4,61,91,91,0.6,0.399,7.7
Developing,59.6,288,21,9,18.7,31,94,94,0.7,0.406,10.6
Developing,73.3,114,0,0,31.3,0,93,93,0.2,0.646,13.5
Developing,68.7,174,10,0,19.6,12,87,89,0.2,0.558,10.9
Developing,57.3,357,45,1809,29,68,83,84,3.5,0.514,10.4
Developing,82.2,64,2,195,67,2,91,91,0.1,0.919,16.3
Developing,52.5,397,15,150,22.7,21,47,47,4.4,0.347,7.1
Developing,53.1,356,46,418,19.1,77,52,46,2.8,0.394,7.3
Developing,85,82,2,9,63.8,2,96,96,0.1,0.845,16.3
Developing,76.1,85,157,42361,32.9,183,99,99,0.1,0.734,13.5
Developing,74.8,143,10,1,57.9,12,91,91,0.1,0.724,13.6
Developing,63.5,227,1,0,24.2,2,92,91,0.8,0.498,11.1
Developing,64.7,267,7,1359,27.4,10,8,8,2.8,0.59,11.1
Developing,79.6,95,1,0,6.5,1,92,92,0.1,0.775,14.2
Developed,78,95,0,206,63.7,0,94,94,0.1,0.823,15.3
Developing,79.1,92,1,0,61.4,1,99,99,0.1,0.773,13.9
Developed,85,52,0,0,6.3,0,97,97,0.1,0.854,14.3
Developed,86,71,0,9,58.8,0,93,93,0.1,0.923,19.2
Developing,63.5,241,1,47,35,1,84,84,2.1,0.47,6.3
Developing,73.9,152,6,0,58.9,7,87,85,0.3,0.718,13.2
Developing,76.2,118,6,0,54.2,7,84,78,0.1,0.739,14
Developing,79,159,51,5432,61.1,60,93,93,0.1,0.688,13.1
Developing,73.5,178,2,0,56.1,2,92,91,0.2,0.678,13.2
Developing,58.2,32,3,1250,24.5,4,17,16,4.2,0.582,9.2
Developing,64.7,255,5,198,18.6,7,95,95,0.4,0.418,5
Developing,77.6,119,0,4,59.9,0,93,93,0.1,0.863,16.5
Developing,64.8,225,136,17745,17.6,194,75,77,0.6,0.441,8.4
Developing,69.9,188,0,0,62.7,0,99,99,0.1,0.734,15.3
Developing,81.1,76,0,2,62.1,0,97,97,0.1,0.893,17
Developing,82.4,78,2,157,62.5,3,98,98,0.1,0.894,16.3
Developing,66,229,2,27,36.3,3,79,8,2.7,0.694,12.6
Developing,61.1,262,3,71,27.3,5,96,97,1.7,0.45,8.9
Developing,74.4,129,1,431,56.2,1,91,94,0.1,0.768,13.9
Developed,81,68,2,2464,62.3,3,94,95,0.1,0.924,17.1
Developing,62.4,249,37,23,28.6,52,88,88,0.7,0.575,11.4
Developing,81,72,0,1,66.5,0,99,99,0.1,0.865,17.2
Developing,73.6,142,0,0,48.4,0,99,92,0.1,0.751,15.8
Developing,71.9,186,10,0,5.6,12,9,74,0.4,0.637,10.7
Developing,59,284,26,243,23.3,40,42,54,0.5,0.414,8.8
Developing,58.9,275,4,153,26.3,6,87,87,3.2,0.421,9.2
Developing,66.2,215,0,0,46.7,1,92,95,0.3,0.638,10.3
Developing,63.5,24,14,0,49.9,18,56,6,0.5,0.49,9.1
Developing,74.6,147,3,0,51,4,97,97,0.3,0.623,11.2
Developed,75.8,134,0,0,64.8,0,99,99,0.1,0.834,15.6
Developed,82.7,49,0,0,61,0,92,92,0.1,0.919,19
Developing,68.3,181,910,90387,18.7,1100,86,87,0.2,0.615,11.6
Developing,69.1,176,114,15099,27.4,136,8,78,0.3,0.686,12.9
Developing,75.5,83,18,615,59.7,21,98,98,0.1,0.774,14.8
Developing,68.9,182,32,1433,59.1,38,63,58,0.1,0.649,10.1
Developed,81.4,64,0,4,62.8,0,95,95,0.1,0.92,18.6
Developing,82.5,58,0,80,64.9,1,95,95,0.1,0.898,16
Developed,82.7,56,1,159,63.6,2,93,93,0.1,0.881,16.3
Developing,76.2,125,1,0,54.2,1,91,91,0.5,0.729,12.8
Developed,83.7,55,2,35,29,3,99,96,0.1,0.902,15.3
Developing,74.1,112,4,0,65.6,4,99,99,0.1,0.741,13.1
Developing,72,198,4,526,53.1,5,98,98,0.1,0.793,15
Developing,63.4,249,54,95,22,75,83,89,2.8,0.55,11.1
Developing,66.3,198,0,0,77.6,0,8,78,0.1,0.586,11.9
Developing,74.7,81,0,18,71.4,1,99,99,0.1,0.799,13.3
Developing,71.1,166,3,17779,44.9,3,97,97,0.1,0.662,13
Developing,65.7,194,8,56,21.7,11,89,89,0.2,0.582,10.8
Developed,74.6,153,0,0,61.2,0,95,95,0.1,0.828,16
Developing,74.9,98,1,39,66.1,1,75,81,0.1,0.763,13.3
Developing,53.7,484,4,0,32.6,6,9,93,9.3,0.495,10.7
Developing,61.4,259,8,1060,27.3,11,52,52,0.9,0.427,9.9
Developing,72.7,138,1,82,64.8,2,97,97,0.1,0.719,13.4
Developed,73.6,165,0,50,62.4,0,93,93,0.1,0.846,16.5
Developed,82,63,0,0,61.3,0,99,99,0.1,0.896,13.9
Developing,65.5,22,28,3,2.5,38,71,69,0.3,0.511,10.3
Developing,58.3,365,26,0,19.6,38,88,88,4.8,0.473,10.8
Developing,75,123,4,1318,4.6,4,99,99,0.1,0.787,13.1
Developing,78.5,61,0,0,27.4,0,99,99,0.1,0.701,12.7
Developing,58.2,266,52,215,23.8,84,66,64,1.5,0.438,8.4
Developed,81.7,54,0,2,69.6,0,97,97,0.1,0.853,14.6
Developing,63.1,25,8,1,3.8,12,67,73,0.9,0.513,8.5
Developing,74.6,146,0,0,33.3,0,98,97,0.1,0.779,15.2
Developing,76.7,122,30,0,63.5,35,87,87,0.1,0.758,13.3
Developing,69.4,166,0,0,69.4,0,71,72,0.1,0.637,11.7
Developing,68.8,222,1,20359,52.7,1,99,99,0.1,0.733,14.8
Developing,76.1,16,0,0,61.8,0,89,89,0.1,0.804,15.1
Developing,74.3,95,17,17,58.5,20,99,99,0.1,0.645,12.1
Developing,57.6,355,60,79,22.6,81,8,8,3.9,0.414,9.1
Developing,66.6,199,39,6,23.8,50,89,89,0.3,0.552,9.1
Developing,65.8,248,2,212,35.7,3,92,92,2.1,0.637,11.7
Developing,69.2,165,17,1599,19.1,21,9,91,0.1,0.555,12.2
Developed,81.9,57,1,7,62.1,1,95,95,0.1,0.923,18.1
Developed,81.6,66,0,10,67.5,0,92,92,0.1,0.913,19.2
Developing,74.8,145,2,0,54,2,99,98,0.1,0.642,11.7
Developing,61.8,22,49,7693,19.3,87,65,65,0.4,0.351,5.4
Developing,54.5,344,483,12423,25.4,747,49,49,3.7,0.525,10
Developed,81.8,59,0,14,61.2,0,95,95,0.1,0.948,17.7
Developing,76.6,99,1,0,54.6,1,99,99,0.1,0.795,13.7
Developing,66.4,161,352,386,25.4,433,72,72,0.1,0.548,8.1
Developing,77.8,118,1,0,57.8,1,72,73,0.1,0.785,13
Developing,62.9,275,10,38,48.6,12,74,73,0.6,0.515,10
Developing,74,146,2,0,5.2,3,89,93,0.2,0.692,12.3
Developing,75.5,123,8,4,55.6,10,88,9,0.1,0.737,13.4
Developing,68.5,211,52,619,25.4,66,79,6,0.1,0.679,11.7
Developed,77.5,117,2,0,61.7,2,92,98,0.1,0.852,16.4
Developed,81.1,76,0,8,61.6,0,98,98,0.1,0.841,16.6
Developing,78.2,68,0,18,69.3,0,99,99,0.1,0.855,13.4
Developed,75,133,2,4,6.7,2,89,89,0.1,0.798,14.7
Developing,75,222,13,843,6.5,15,97,97,0.1,0.805,15
Developing,66.1,227,11,1,21.4,15,99,98,0.4,0.493,10.8
Developing,75.2,138,0,0,47.5,0,99,99,0.1,0.735,13.1
Developing,73.2,156,0,0,54.1,0,97,98,0.1,0.72,13.3
Developing,74,125,0,0,74.7,0,61,66,0.1,0.702,12.9
Developing,67.5,19,0,0,3.9,0,96,96,0.2,0.565,11.2
Developing,74.5,88,7,219,68.2,8,97,98,0.1,0.845,16.1
Developing,66.7,188,19,58,24.3,26,85,89,0.3,0.491,9.5
Developing,75.6,121,1,383,6,1,95,95,0.1,0.775,14.4
Developing,73.2,168,0,0,37.4,0,97,97,0.1,0.781,14.1
Developing,51,413,22,607,24.4,30,86,86,0.5,0.431,9.5
Developed,83.1,55,0,0,33.2,0,96,96,0.1,0.924,15.4
Developed,76.7,19,0,1,59.1,0,96,96,0.1,0.842,15
Developed,88,74,0,18,6.1,0,95,95,0.1,0.888,17.3
Developing,69.2,177,0,0,5.5,0,99,98,0.1,0.514,9.6
Developing,62.9,328,42,17,51.1,52,75,75,3.6,0.665,13
Developed,82.8,56,1,115,66.6,1,97,97,0.1,0.882,17.7
Developing,74.9,138,3,1568,23.4,3,99,99,0.1,0.764,14
Developing,71.6,176,0,0,58.3,0,89,89,0.4,0.723,12.7
Developing,58.9,373,2,0,32.3,3,84,9,7.1,0.541,11.4
Developed,82.4,53,0,22,59.5,0,98,98,0.1,0.909,15.9
Developed,83.4,49,0,35,57.4,0,97,97,0.1,0.938,16
Developing,64.5,293,6,45,57.1,8,5,41,0.1,0.553,9
Developing,69.7,161,10,3,4.7,11,96,96,0.2,0.625,11.3
Developing,74.9,148,8,154,33.6,9,99,99,0.1,0.738,13.6
Developing,75.7,12,0,1,6.3,0,92,91,0.1,0.746,12.9
Developing,68.3,152,2,43,17.4,2,75,76,0.1,0.603,12.5
Developing,59.9,287,13,20,24.3,20,88,88,1,0.484,12
Developing,73.5,133,0,0,75.2,0,8,78,0.1,0.718,14.3
Developing,71.2,17,0,0,47.1,0,88,96,0.3,0.779,12.7
Developing,75.3,1,3,16,61.2,3,98,98,0.1,0.723,14.6
Developing,75.8,16,15,342,66.1,18,97,97,0.1,0.764,14.5
Developing,66.3,215,6,0,48.6,7,99,99,0.1,0.688,10.8
Developing,62.3,291,66,478,18.5,93,82,78,3.1,0.488,10
Developing,71.3,195,4,105,61.3,5,51,23,0.2,0.748,15.3
Developing,77.1,75,1,347,64.2,1,99,99,0.1,0.836,13.3
Developing,77,116,0,0,64,0,95,95,0.1,0.794,15.5
Developing,69.4,184,15,22,44.7,17,99,99,0.1,0.697,12.1
Developing,72,13,0,39,53.3,0,65,64,0.1,0.598,10.8
Developing,74.1,157,9,0,62.1,10,87,87,0.1,0.769,14.3
Developing,76,127,28,256,17.5,35,97,97,0.1,0.678,12.6
Developing,65.7,224,37,468,41.3,47,63,69,0.1,0.499,9
Developing,61.8,33,27,9,23.4,40,9,9,4.1,0.576,12.5
Developing,67,336,22,0,31.8,32,88,87,6.2,0.507,10.3
